asset_id,timestamp,rms_h,rms_v,rms,kurtosis_h,kurtosis_v,kurtosis,spectral_features,sample_count,time_to_failure_label,actual_outcome
PUMP-201,2025-01-01 12:00:00,0.500002,0.515480,0.718138,3.1638,2.9375,3.1638,"[0.124818, 0.125238, 0.124846, 0.125188, 0.12506, 0.125107, 0.125094, 0.12465]",32768,0,0
PUMP-202,2025-01-01 14:00:00,0.498285,0.505008,0.709451,3.0696,2.9625,3.0696,"[0.124808, 0.125289, 0.124624, 0.12572, 0.124394, 0.125752, 0.124492, 0.124921]",32768,0,0
PUMP-203,2025-01-01 16:00:00,0.506272,0.523038,0.727928,3.1260,3.0261,3.1260,"[0.124995, 0.125081, 0.124573, 0.125391, 0.125074, 0.124947, 0.124886, 0.125053]",32768,72,1
PUMP-204,2025-01-01 18:00:00,0.499464,0.509580,0.713538,3.1074,2.9824,3.1074,"[0.124819, 0.124953, 0.125037, 0.125309, 0.125112, 0.12499, 0.125054, 0.124727]",32768,0,0
PUMP-205,2025-01-01 20:00:00,0.492894,0.502371,0.703791,3.0358,2.9496,3.0358,"[0.125216, 0.124653, 0.125399, 0.124625, 0.125133, 0.124838, 0.125092, 0.125044]",32768,0,0
PUMP-206,2025-01-01 22:00:00,0.487210,0.494875,0.694460,3.0970,2.9643,3.0970,"[0.1249, 0.12526, 0.124527, 0.125683, 0.12438, 0.125333, 0.124809, 0.125108]",32768,0,0
PUMP-207,2025-01-02 00:00:00,0.496591,0.507708,0.710190,3.1068,2.9475,3.1068,"[0.124971, 0.124979, 0.125128, 0.124947, 0.124832, 0.12504, 0.125022, 0.125082]",32768,0,0
PUMP-208,2025-01-02 02:00:00,0.501716,0.501809,0.709599,3.0735,2.9963,3.0735,"[0.124868, 0.125175, 0.125183, 0.124607, 0.125204, 0.124888, 0.124983, 0.125093]",32768,0,0
PUMP-209,2025-01-02 22:00:00,0.527262,0.528433,0.746490,3.0545,2.9722,3.0545,"[0.125026, 0.124929, 0.124967, 0.125124, 0.124915, 0.125193, 0.12485, 0.124995]",32768,48,1
PUMP-210,2025-01-03 00:00:00,0.523228,0.523708,0.740296,3.0461,2.9953,3.0461,"[0.125024, 0.125111, 0.124395, 0.125755, 0.124731, 0.125181, 0.124433, 0.12537]",32768,48,1
PUMP-211,2025-01-03 02:00:00,0.528809,0.524878,0.745075,3.0665,3.0196,3.0665,"[0.125171, 0.12474, 0.125358, 0.124728, 0.125018, 0.124872, 0.125345, 0.124769]",32768,48,1
PUMP-212,2025-01-03 04:00:00,0.534877,0.529095,0.752353,3.1474,2.9268,3.1474,"[0.12495, 0.125092, 0.125112, 0.124683, 0.125177, 0.125082, 0.124944, 0.124959]",32768,24,1
PUMP-213,2025-01-03 06:00:00,0.542610,0.529215,0.757954,3.0398,3.0106,3.0398,"[0.124865, 0.124969, 0.125381, 0.124716, 0.125261, 0.12491, 0.125299, 0.124599]",32768,24,1
PUMP-214,2025-01-03 08:00:00,0.546707,0.522067,0.755938,2.9862,2.9919,2.9919,"[0.125005, 0.12479, 0.125384, 0.124652, 0.125688, 0.12467, 0.125003, 0.124807]",32768,24,1
PUMP-215,2025-01-03 10:00:00,0.550022,0.527875,0.762349,3.0270,2.9727,3.0270,"[0.124829, 0.125042, 0.124936, 0.125287, 0.124953, 0.12516, 0.124838, 0.124956]",32768,24,1
